序号,电影名,年份,类型,导演,评分
113,不可饶恕,1992,剧情/犯罪/西部,克林特·伊斯特伍德,豆瓣8.3/IMDB8.3
114,飞屋环游记,2009,剧情/喜剧/动画,彼特·道格特,豆瓣8.9/IMDB8.3
115,三傻大闹宝莱坞,2009,剧情/喜剧/爱情,拉吉库马尔·希拉尼,豆瓣9.1/IMDB8.5
116,愤怒的公牛,1980,剧情/动作/传记,马丁·斯科塞斯,豆瓣8.3/IMDB8.3
117,帝国的毁灭,2004,剧情/传记/历史,奥利弗·西斯贝格,豆瓣8.6/IMDB8.3
118,唐人街,1974,剧情/悬疑/惊悚,罗曼·波兰斯基,豆瓣8.3/IMDB8.3
119,狩猎,2012,剧情,托马斯·温特伯格,豆瓣9.0/IMDB8.3
120,大逃亡,1963,剧情/历史/冒险,约翰·斯特奇斯,豆瓣8.4/IMDB8.3
121,虎胆龙威,1988,动作/惊悚/犯罪,约翰·麦克蒂尔南,豆瓣8.1/IMDB8.3
122,心灵捕手,1997,剧情,格斯·范·桑特,豆瓣8.7/IMDB8.3
123,码头风云,1954,剧情/爱情/犯罪,伊利亚·卡赞,豆瓣7.9/IMDB8.3
124,盗火线,1995,剧情/惊悚/犯罪,迈克尔·曼,豆瓣8.3/IMDB8.3
125,潘神的迷宫,2006,剧情/悬疑/战争,吉尔莫·德尔·托罗,豆瓣7.8/IMDB8.3
126,史密斯先生到华盛顿,1939,剧情,弗兰克·卡普拉,豆瓣8.8/IMDB8.3
127,桂河大桥,1957,剧情/历史/战争,大卫·里恩,豆瓣8.3/IMDB8.3
128,龙猫,1988,动画/奇幻,宫崎骏,豆瓣9.1/IMDB8.3
129,生之欲,1952,剧情,黑泽明,豆瓣9.0/IMDB8.3
130,乱,1985,剧情/动作/战争,黑泽明,豆瓣8.7/IMDB8.3
131,第七封印,1957,剧情/奇幻,英格玛·伯格曼,豆瓣8.3/IMDB8.3
132,淘金记,1925,喜剧/爱情/家庭,查理·卓别林,豆瓣8.9/IMDB8.3
133,野草莓,1957,剧情,英格玛·伯格曼,豆瓣8.6/IMDB8.3
134,将军号,1926,喜剧/动作/爱情,巴斯特·基顿,豆瓣8.9/IMDB8.3
135,银翼杀手,1982,剧情/科幻/惊悚,雷德利·斯科特,豆瓣8.1/IMDB8.2
136,谜一样的双眼,2009,剧情/爱情/悬疑,胡安·何塞·坎帕内利亚,豆瓣8.3/IMDB8.3
137,两杆大烟枪,1998,剧情/喜剧/犯罪,盖·里奇,豆瓣9.0/IMDB8.2
138,象人,1980,剧情/传记/历史,大卫·林奇,豆瓣8.1/IMDB8.2
139,华尔街之狼,2013,剧情/喜剧/传记,马丁·斯科塞斯,豆瓣7.6/IMDB8.2
140,赌城风云,1995,剧情/传记/犯罪,马丁·斯科塞斯,豆瓣8.2/IMDB8.2
141,哈尔的移动城堡,2004,爱情/动画/奇幻,宫崎骏,豆瓣8.8/IMDB8.2
142,勇士,2011,剧情/家庭/运动,加文·欧康诺,豆瓣8.9/IMDB8.2
143,老爷车,2008,剧情,克林特·伊斯特伍德,豆瓣8.6/IMDB8.2
144,V字仇杀队,2005,剧情/动作/科幻,詹姆斯·麦克特格,豆瓣8.8/IMDB8.2
145,谋杀绿脚趾,1998,喜剧/犯罪,乔尔·科恩,豆瓣7.7/IMDB8.2
146,蝴蝶梦,1940,剧情/悬疑,阿尔弗雷德·希区柯克,豆瓣8.2/IMDB8.2
147,纽伦堡的审判,1961,剧情/历史,斯坦利·克雷默,豆瓣9.0/IMDB8.3
148,猎鹿人,1978,剧情/战争,迈克尔·西米诺,豆瓣8.4/IMDB8.2
149,美丽心灵,2001,剧情/传记,朗·霍华德,豆瓣8.9/IMDB8.2
150,铁窗喋血,1967,剧情/犯罪,斯图尔特·罗森博格,豆瓣8.1/IMDB8.2
151,驯龙高手,2010,喜剧/动画/家庭,迪恩·德布洛斯,豆瓣8.7/IMDB8.2
152,乱世佳人,1939,剧情/爱情/战争,维克多·弗莱明,豆瓣9.2/IMDB8.2
153,冰血暴,1996,剧情/惊悚/犯罪,乔尔·科恩,豆瓣7.9/IMDB8.2
154,猜火车,1996,剧情/犯罪,丹尼·博伊尔,豆瓣8.5/IMDB8.2
155,一夜风流,1934,喜剧/爱情,弗兰克·卡普拉,豆瓣8.6/IMDB8.2
156,消失的爱人,2014,剧情/悬疑/惊悚,大卫·芬奇,豆瓣8.7/IMDB8.1
157,荒野生存,2007,剧情/传记/冒险,西恩·潘,豆瓣8.7/IMDB8.2
158,电话谋杀案,1954,悬疑/惊悚/犯罪,阿尔弗雷德·希区柯克,豆瓣8.6/IMDB8.2
159,极速风流,2013,剧情/传记/运动,朗·霍华德,豆瓣8.8/IMDB8.2
160,第六感,1999,剧情/悬疑/恐怖,M·奈特·沙马兰,豆瓣8.8/IMDB8.2
161,马耳他之鹰,1941,悬疑/犯罪/黑色电影,约翰·休斯顿,豆瓣7.6/IMDB8.2
162,海底总动员,2003,喜剧/动画/家庭,安德鲁·斯坦顿,豆瓣8.1/IMDB8.2
163,玛丽和马克思,2009,剧情/爱情/动画,亚当·艾略特,豆瓣8.9/IMDB8.2
164,老无所依,2007,剧情/惊悚/犯罪,伊桑·科恩,豆瓣7.9/IMDB8.1
165,怪形,1982,科幻/悬疑/恐怖,约翰·卡朋特,豆瓣7.7/IMDB8.2
166,卢旺达饭店,2004,剧情/历史/战争,特瑞·乔治,豆瓣8.8/IMDB8.2
167,焦土之城,2010,剧情,丹尼斯·维伦纽瓦,豆瓣8.6/IMDB8.2
168,恐惧的代价,1953,剧情/惊悚/冒险,亨利-乔治·克鲁佐,豆瓣8.7/IMDB8.2
169,杀死比尔,2003,动作/惊悚/犯罪,昆汀·塔伦蒂诺,豆瓣8.0/IMDB8.1
170,野战排,1986,剧情/动作/战争,奥利佛·斯通,豆瓣8.1/IMDB8.1
171,万世魔星,1979,喜剧,特瑞·琼斯,豆瓣8.0/IMDB8.2
172,虎豹小霸王,1969,剧情/犯罪/西部,乔治·罗伊·希尔,豆瓣8.7/IMDB8.2
173,电视台风云,1976,剧情,西德尼·吕美特,豆瓣8.5/IMDB8.2
174,血色将至,2007,剧情/惊悚/历史,保罗·托马斯·安德森,豆瓣8.0/IMDB8.1
175,历劫佳人,1958,惊悚/犯罪/黑色电影,奥逊·威尔斯,豆瓣8.2/IMDB8.2
176,四百击,1959,剧情/犯罪,弗朗索瓦·特吕弗,豆瓣8.7/IMDB8.2
177,为奴十二载,2013,剧情/传记/历史,史蒂夫·麦奎因,豆瓣7.7/IMDB8.1
178,伴我同行,1986,剧情/儿童/冒险,罗伯·莱纳,豆瓣8.9/IMDB8.1
179,假面,1966,剧情,英格玛·伯格曼,豆瓣8.6/IMDB8.2
180,安妮·霍尔,1977,剧情/喜剧/爱情,伍迪·艾伦,豆瓣8.5/IMDB8.1
181,公主新娘,1987,喜剧/爱情/家庭,罗伯·莱纳,豆瓣6.9/IMDB8.2
182,布达佩斯大饭店,2014,剧情/喜剧,韦斯·安德森,豆瓣8.7/IMDB8.1
183,爱情是狗娘,2000,剧情/惊悚,亚利桑德罗·冈萨雷斯·伊纳里多,豆瓣8.3/IMDB8.1
184,因父之名,1993,剧情/传记,吉姆·谢里丹,豆瓣8.8/IMDB8.1
185,百万美元宝贝,2004,剧情/运动,克林特·伊斯特伍德,豆瓣8.4/IMDB8.1
