狗镇,拉斯·冯·提尔,豆瓣8.5/IMDB8.1,2003,2003 提名,剧情/悬疑/惊悚
美丽坏东西,斯蒂芬·弗雷斯,豆瓣7.5/IMDB7.4,2002,2003 提名,剧情/惊悚/犯罪
再见列宁,沃尔夫冈·贝克,豆瓣8.7/IMDB7.8,2003,2003 最佳影片,剧情/家庭
维拉·德雷克,迈克·李,豆瓣8.0/IMDB7.7,2004,2004 提名,剧情/犯罪
深海长眠,亚历杭德罗·阿梅纳瓦尔,豆瓣8.3/IMDB8.1,2004,2004 提名,剧情/传记
放牛班的春天,克里斯托夫·巴拉蒂,豆瓣9.2/IMDB7.9,2004,2004 提名,剧情/音乐/儿童
不良教育,佩德罗·阿莫多瓦,豆瓣8.2/IMDB7.5,2004,2004 提名,剧情/悬疑/惊悚
兽性斗室,鲁卡斯·穆迪森,豆瓣5.3/IMDB4.6,2004,2004 提名,剧情/恐怖
勇往直前,法提赫·阿金,豆瓣8.2/IMDB8.0,2004,2004 最佳影片,剧情/爱情
希望与反抗,马克·罗特蒙德,豆瓣8.0/IMDB7.7,2005,2005 提名,剧情/传记/历史
夏日之恋,保罗·帕夫利克夫斯基,豆瓣6.9/IMDB6.8,2004,2005 提名,剧情/爱情/惊悚
孩子,让-皮埃尔·达内,豆瓣7.8/IMDB7.5,2005,2005 提名,剧情/爱情/犯罪
别来敲门,维姆·文德斯,豆瓣7.5/IMDB6.7,2005,2005 提名,剧情/音乐
兄弟,苏珊娜·比尔,豆瓣7.6/IMDB7.6,2004,2005 提名,剧情/战争
隐藏摄像机,迈克尔·哈内克,豆瓣7.6/IMDB7.3,2005,2005 最佳影片,剧情/悬疑/惊悚
风吹麦浪,肯·洛奇,豆瓣7.9/IMDB7.5,2006,2006 提名,剧情/历史/战争
回归,佩德罗·阿莫多瓦,豆瓣8.1/IMDB7.6,2006,2006 提名,剧情/喜剧/悬疑
关塔那摩之路,马特·怀克洛斯,豆瓣7.8/IMDB7.6,2006,2006 提名,剧情/纪录片
格巴维察,亚斯米拉·茲巴尼克,豆瓣7.8/IMDB7.3,2006,2006 提名,剧情
冥王星早餐,尼尔·乔丹,豆瓣8.3/IMDB7.3,2005,2006 提名,剧情/喜剧
窃听风暴,弗洛里安·亨克尔·冯·多纳斯马,豆瓣9.1/IMDB8.5,2006,2006 最佳影片,剧情/悬疑
女王,斯蒂芬·弗雷斯,豆瓣7.7/IMDB7.4,2006,2007 提名,剧情/传记
我在伊朗长大,文森特·帕兰德,豆瓣8.7/IMDB8.0,2007,2007 提名,剧情/动画/传记
玫瑰人生,奥利维耶·达昂,豆瓣8.3/IMDB7.7,2007,2007 提名,剧情/音乐/传记
末代独裁,凯文·麦克唐纳,豆瓣7.9/IMDB7.7,2007,2007 提名,剧情/传记/历史
在人生的另一边,法提赫·阿金,豆瓣8.3/IMDB7.9,2007,2007 提名,剧情
四月三周两天,克里丝蒂安·蒙吉,豆瓣8.0/IMDB7.9,2007,2007 最佳影片,剧情
和巴什尔跳华尔兹,阿里·福尔曼,豆瓣8.6/IMDB8.0,2008,2008 提名,动画/纪录片/传记
孤堡惊情,胡安·安东尼奥·巴亚纳,豆瓣7.4/IMDB7.5,2007,2008 提名,剧情/悬疑/恐怖
无忧无虑,迈克·李,豆瓣7.2/IMDB7.0,2008,2008 提名,剧情/喜剧
课室风云,劳伦·冈泰,豆瓣7.6/IMDB7.5,2008,2008 提名,剧情
大牌明星,保罗·索伦蒂诺,豆瓣7.5/IMDB7.3,2008,2008 提名,剧情/动作/传记
格莫拉,马提欧·加洛尼,豆瓣7.4/IMDB7.0,2008,2008 最佳影片,剧情/犯罪
贫民窟的百万富翁,丹尼·博伊尔,豆瓣8.5/IMDB8.0,2008,2009 提名,剧情/爱情
朗读者,史蒂芬·戴德利,豆瓣8.4/IMDB7.6,2008,2009 提名,剧情/爱情
预言者,雅克·欧迪亚,豆瓣7.6/IMDB7.9,2009,2009 提名,剧情/犯罪
生人勿进,托马斯·阿尔弗莱德森,豆瓣7.7/IMDB8.0,2008,2009 提名,剧情/爱情/悬疑
鱼缸,安德里亚·阿诺德,豆瓣7.4/IMDB7.3,2009,2009 提名,剧情
白丝带,迈克尔·哈内克,豆瓣8.0/IMDB7.8,2009,2009 最佳影片,剧情/悬疑
心灵厨房,法提赫·阿金,豆瓣7.5/IMDB7.3,2009,2010 提名,剧情/喜剧
谜一样的双眼,胡安·何塞·坎帕内利亚,豆瓣8.3/IMDB8.3,2009,2010 提名,剧情/爱情/悬疑
黎巴嫩,塞缪尔·毛茨,豆瓣7.2/IMDB6.9,2009,2010 提名,剧情/战争
人与神,夏维尔·毕沃斯,豆瓣7.8/IMDB7.2,2010,2010 提名,剧情
蜂蜜,赛米·卡普拉诺格鲁,豆瓣7.8/IMDB7.2,2010,2010 提名,剧情
影子写手,罗曼·波兰斯基,豆瓣7.5/IMDB7.2,2010,2010 最佳影片,剧情/悬疑/惊悚
勒阿弗尔,阿基·考里斯马基,豆瓣7.8/IMDB7.2,2011,2011 提名,剧情
国王的演讲,汤姆·霍珀,豆瓣8.3/IMDB8.1,2010,2011 提名,剧情/传记/历史
更好的世界,苏珊娜·比尔,豆瓣8.3/IMDB7.7,2010,2011 提名,剧情
单车少年,让-皮埃尔·达内,豆瓣8.0/IMDB7.4,2011,2011 提名,剧情
艺术家,迈克尔·哈扎纳维希乌斯,豆瓣8.4/IMDB8.0,2011,2011 提名,剧情/喜剧/爱情
忧郁症,拉斯·冯·提尔,豆瓣6.8/IMDB7.1,2011,2011 最佳影片,剧情/科幻/惊悚
凯撒必须死,保罗·塔维亚尼,豆瓣7.8/IMDB7.3,2012,2012 提名,剧情
