弗朗西斯·福特·科波拉,10,教父2,剧情/犯罪,1974,豆瓣9.1/IMDB9.1
迈克尔·柯蒂斯,9,卡萨布兰卡,剧情/爱情/战争,1942,豆瓣8.6/IMDB8.6
阿尔弗雷德·希区柯克,8,惊魂记,悬疑/恐怖,1960,豆瓣8.8/IMDB8.6
斯坦利·多南,7,雨中曲,喜剧/爱情/歌舞,1952,豆瓣8.9/IMDB8.4
F·W·茂瑙,6,日出,剧情/爱情,1927,豆瓣8.8/IMDB8.4
约翰·福特,5,搜索者,西部,1956,豆瓣7.8/IMDB8.0
斯坦利·库布里克,4,2001太空漫游,剧情/科幻/悬疑,1968,豆瓣8.5/IMDB8.3
阿尔弗雷德·希区柯克,3,迷魂记,爱情/悬疑/惊悚,1958,豆瓣8.5/IMDB8.4
弗朗西斯·福特·科波拉,2,教父,剧情/犯罪,1972,豆瓣9.2/IMDB9.2
奥逊·威尔斯,1,公民凯恩,剧情/悬疑,1941,豆瓣8.5/IMDB8.4
