序号,电影名,年份,类型,导演,评分
133,大卫·戈尔的一生,2003,剧情/悬疑/犯罪,艾伦·帕克,豆瓣8.7/IMDB7.5
134,大鱼,2003,剧情/家庭/奇幻,蒂姆·波顿,豆瓣8.7/IMDB8.0
135,蝴蝶效应,2004,剧情/科幻/悬疑,埃里克·布雷斯,豆瓣8.6/IMDB7.7
136,爱在日落黄昏时,2004,剧情/爱情,理查德·林克莱特,豆瓣8.7/IMDB8.1
137,穿越时空的少女,2006,剧情/爱情/科幻,细田守,豆瓣8.7/IMDB7.9
138,谍影重重3,2007,动作/悬疑/冒险,保罗·格林格拉斯,豆瓣8.7/IMDB8.1
139,荒野生存,2007,剧情/传记/冒险,西恩·潘,豆瓣8.7/IMDB8.2
140,浪潮,2008,剧情,丹尼斯·甘塞尔,豆瓣8.7/IMDB7.6
141,本杰明·巴顿奇事,2008,剧情/爱情/奇幻,大卫·芬奇,豆瓣8.7/IMDB7.8
142,驯龙高手,2010,喜剧/动画/家庭,迪恩·德布洛斯,豆瓣8.7/IMDB8.2
143,玩具总动员3,2010,喜剧/动画/奇幻,李·昂克里奇,豆瓣8.8/IMDB8.4
144,借东西的小人阿莉埃蒂,2010,动画/奇幻/冒险,米林宏昌,豆瓣8.7/IMDB7.7
145,让子弹飞,2010,剧情/喜剧/动作,姜文,豆瓣8.7/IMDB7.3
146,一次别离,2011,剧情/家庭,阿斯哈·法哈蒂,豆瓣8.7/IMDB8.4
147,超脱,2011,剧情,托尼·凯耶,豆瓣8.7/IMDB7.7
148,无敌破坏王,2012,喜剧/动画/冒险,瑞奇·摩尔,豆瓣8.7/IMDB7.8
149,7号房的礼物,2013,剧情/喜剧/家庭,李焕庆,豆瓣8.6/IMDB8.2
150,恐怖直播,2013,剧情/悬疑/犯罪,金秉祐,豆瓣8.7/IMDB7.2
151,布达佩斯大饭店,2014,剧情/喜剧,韦斯·安德森,豆瓣8.7/IMDB8.1
152,荒蛮故事,2014,剧情/喜剧/犯罪,达米安·斯兹弗隆,豆瓣8.7/IMDB8.1
153,消失的爱人,2014,剧情/悬疑/惊悚,大卫·芬奇,豆瓣8.7/IMDB8.1
154,卡萨布兰卡,1942,剧情/爱情/战争,迈克尔·柯蒂斯,豆瓣8.6/IMDB8.6
155,上帝也疯狂,1980,喜剧,加美·尤伊斯,豆瓣8.6/IMDB7.3
156,雨人,1988,剧情,巴瑞·莱文森,豆瓣8.6/IMDB8.0
